DATE (MM/DD/YYYY),HOUR-MST,Avg Avg Wind Speed @ 80m [m/s]
2/4/2011,22,9.8496
2/4/2011,23,11.3304
2/5/2011,0,10.5851
2/5/2011,1,15.9122
2/5/2011,2,19.5618
2/5/2011,3,14.1888
2/5/2011,4,12.1346
2/5/2011,5,12.5025
2/5/2011,6,9.0463
2/5/2011,7,5.1337
2/5/2011,8,6.6371
2/5/2011,9,6.7096
2/5/2011,10,2.9461
2/5/2011,11,2.3605
2/5/2011,12,2.2184
2/5/2011,13,2.9093
2/5/2011,14,3.6951
2/5/2011,15,2.3324
2/5/2011,16,3.9357
2/5/2011,17,1.4050
2/5/2011,18,2.1752
2/5/2011,19,1.1805
2/5/2011,20,4.6418
2/5/2011,21,1.7320
2/5/2011,22,1.0604
2/5/2011,23,1.7634
2/6/2011,0,1.2987
2/6/2011,1,3.2524
2/6/2011,2,4.4560
2/6/2011,3,2.1809
2/6/2011,4,0.9401
2/6/2011,5,1.2849
2/6/2011,6,2.0006
2/6/2011,7,1.3627
2/6/2011,8,0.8335
2/6/2011,9,0.6182
2/6/2011,10,0.8204
2/6/2011,11,0.7084
2/6/2011,12,0.6223
2/6/2011,13,0.6997
2/6/2011,14,1.5855
2/6/2011,15,0.9529
2/6/2011,16,0.8379
2/6/2011,17,1.1311
2/6/2011,18,0.8048
2/6/2011,19,2.3853
2/6/2011,20,2.1810
2/6/2011,21,3.9197
2/6/2011,22,6.8564
2/6/2011,23,8.4520
2/7/2011,0,9.5548
2/7/2011,1,6.2607
2/7/2011,2,1.5896
2/7/2011,3,6.5969
2/7/2011,4,6.6663
2/7/2011,5,1.8617
2/7/2011,6,2.7497
2/7/2011,7,2.9183
2/7/2011,8,2.2157
2/7/2011,9,6.2630
2/7/2011,10,8.6635
2/7/2011,11,5.0042
2/7/2011,12,4.0614
2/7/2011,13,5.2122
2/7/2011,14,3.5106
2/7/2011,15,4.5811
2/7/2011,16,2.8529
2/7/2011,17,4.5363
2/7/2011,18,5.3001
2/7/2011,19,3.9314
2/7/2011,20,2.1875
2/7/2011,21,2.9456
2/7/2011,22,11.1541
2/7/2011,23,12.7224
2/8/2011,0,10.0270
2/8/2011,1,9.0676
2/8/2011,2,6.7827
2/8/2011,3,6.8940
2/8/2011,4,4.0803
2/8/2011,5,4.8128
2/8/2011,6,3.9204
2/8/2011,7,3.2366
2/8/2011,8,2.1572
2/8/2011,9,2.2110
2/8/2011,10,1.5637
2/8/2011,11,1.4607
2/8/2011,12,1.5331
2/8/2011,13,1.5155
2/8/2011,14,1.5013
2/8/2011,15,1.9372
2/8/2011,16,2.3886
2/8/2011,17,3.4356
2/8/2011,18,3.2694
2/8/2011,19,3.0822
2/8/2011,20,2.4620
2/8/2011,21,2.3748
2/8/2011,22,2.8185
2/8/2011,23,1.6565
2/9/2011,0,0.6312
2/9/2011,1,1.1828
2/9/2011,2,0.5977
2/9/2011,3,1.1211
2/9/2011,4,1.8663
2/9/2011,5,0.9664
2/9/2011,6,0.3974
2/9/2011,7,1.5231
2/9/2011,8,1.0216
2/9/2011,9,2.9305
2/9/2011,10,3.9269
2/9/2011,11,4.6236
2/9/2011,12,4.8923
2/9/2011,13,5.1805
2/9/2011,14,6.8690
2/9/2011,15,6.9554
2/9/2011,16,5.8567
2/9/2011,17,4.0619
2/9/2011,18,6.1847
2/9/2011,19,9.8540
2/9/2011,20,2.8362
2/9/2011,21,2.4371
2/9/2011,22,2.6804
2/9/2011,23,3.4779
2/10/2011,0,5.8112
2/10/2011,1,4.6728
2/10/2011,2,2.9153
2/10/2011,3,2.0878
2/10/2011,4,2.4073
2/10/2011,5,2.6547
2/10/2011,6,3.0652
2/10/2011,7,6.0075
2/10/2011,8,6.4267
2/10/2011,9,3.8076
2/10/2011,10,2.5654
2/10/2011,11,4.7983
2/10/2011,12,13.6462
2/10/2011,13,12.3544
2/10/2011,14,15.7515
2/10/2011,15,16.2435
2/10/2011,16,12.0903
2/10/2011,17,4.4244
2/10/2011,18,3.7403
2/10/2011,19,12.5145
2/10/2011,20,14.1426
2/10/2011,21,12.7782
2/10/2011,22,13.1097
2/10/2011,23,10.8203
