"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"3206500058","0103","2020-06-03T15:50:00.000","1.5","LEJANÍAS - AUT","META","LEJANÍAS","GUAVIARE","3.518202778","-74.0063","Velocidad Viento (10 min)","m/s"
"0026085501","0103","2020-06-03T00:15:00.000","0","LA CELIA  - AUT","RISARALDA","LA CELIA","CAUCA","5.001330556","-75.998","Velocidad Viento (10 min)","m/s"
"2302500037","0103","2020-06-03T06:50:00.000","0.6","BRASIL - AUT","CALDAS","MARULANDA","MEDIO MAGDALENA","5.139916667","-75.316638889","Velocidad Viento (10 min)","m/s"
"0026180250","0103","2020-06-03T09:10:00.000","1.7","VALLE ALTO  - AUT","CALDAS","SALAMINA","CAUCA","5.35","-75.31777778","Velocidad Viento (10 min)","m/s"
"0021105030","0103","2020-06-03T05:50:00.000","1.1","ALGECIRAS - AUT","HUILA","ALGECIRAS","ALTO MAGDALENA","2.521694444","-75.32225","Velocidad Viento (10 min)","m/s"
"0021105030","0103","2020-06-03T08:10:00.000","0.9","ALGECIRAS - AUT","HUILA","ALGECIRAS","ALTO MAGDALENA","2.521694444","-75.32225","Velocidad Viento (10 min)","m/s"
"0015015060","0103","2020-06-03T19:10:00.000","1.4","SAN LORENZO  - AUT","MAGDALENA","SANTA MARTA","CARIBE - GUAJIRA","11.11108333","-74.05469444","Velocidad Viento (10 min)","m/s"
"0026255030","0103","2020-06-03T15:40:00.000","1.2","SANTA ISABEL VALDIVIA - AUT","ANTIOQUIA","VALDIVIA","CAUCA","7.157277778","-75.44222222","Velocidad Viento (10 min)","m/s"
"2901500072","0103","2020-06-03T05:50:00.000","1.3","HOBO - AUT","BOLIVAR","EL CARMÉN DE BOLÍVAR","BAJO MAGDALENA","9.672419444","-75.236458333","Velocidad Viento (10 min)","m/s"
"0028035070","0103","2020-06-03T20:00:00.000","1.9","GUATAPURI - AUT","CESAR","VALLEDUPAR","CESAR","10.73213889","-73.39241667","Velocidad Viento (10 min)","m/s"
"0024035430","0103","2020-06-03T06:30:00.000","1.5","TUNGUAVITA - AUT","BOYACÁ","PAIPA","SOGAMOSO","5.745916667","-73.11636111","Velocidad Viento (10 min)","m/s"
"0035075070","0103","2020-06-03T16:10:00.000","2.6","CHINAVITA - AUT","BOYACÁ","CHINAVITA","META","5.21925","-73.35038889","Velocidad Viento (10 min)","m/s"
"0025025360","0103","2020-06-03T21:40:00.000","3","AEROPUERTO LAS FLORES  - AUT","MAGDALENA","EL BANCO","BAJO MAGDALENA","9.046333333","-73.97083333","Velocidad Viento (10 min)","m/s"
"0029015040","0103","2020-06-03T21:40:00.000","0.5","CARMEN DE BOLIVAR  - AUT","BOLIVAR","EL CARMÉN DE BOLÍVAR","BAJO MAGDALENA","9.71575","-75.10641667","Velocidad Viento (10 min)","m/s"
"2802500079","0103","2020-06-03T12:00:00.000","1.2","CARACOLÍ HDA MANATURE - AUT","CESAR","VALLEDUPAR","CESAR","10.088694444","-73.731666667","Velocidad Viento (10 min)","m/s"
"0026125502","0103","2020-06-03T00:45:00.000","0.6890972","CAICEDONIA  - AUT","VALLE DEL CAUCA","CAICEDONIA","CAUCA","4.297558333","-75.86396111","Velocidad Viento (10 min)","m/s"
"0026085501","0103","2020-06-03T07:10:00.000","0","LA CELIA  - AUT","RISARALDA","LA CELIA","CAUCA","5.001330556","-75.998","Velocidad Viento (10 min)","m/s"
"2621500070","0103","2020-06-03T00:00:00.000","1.3","ITUANGO - AUT","ANTIOQUIA","ITUANGO","CAUCA","7.175363889","-75.766358333","Velocidad Viento (10 min)","m/s"
"1508500053","0103","2020-06-03T22:50:00.000","6.2","PUERTO ESTRELLA - AUT","LA GUAJIRA","URIBIA","CARIBE - GUAJIRA","12.339194444","-71.345080556","Velocidad Viento (10 min)","m/s"
"0014015080","0103","2020-06-03T22:00:00.000","1.1","AEROPUERTO RAFAEL NUNEZ","BOLIVAR","CARTAGENA DE INDIAS","CARIBE - LITORAL","10.44725","-75.51602778","Velocidad Viento (10 min)","m/s"
"0026065502","0103","2020-06-03T09:40:00.000","2.044353","TRINIDAD LA  - AUT","CAUCA","PIENDAMÓ","CAUCA","2.750555556","-76.57916667","Velocidad Viento (10 min)","m/s"
"0054015010","0103","2020-06-03T17:10:00.000","0.6","PUEBLO RICO  - AUT","RISARALDA","PUEBLO RICO","SAN JUÁN","5.233444444","-76.03163889","Velocidad Viento (10 min)","m/s"
"0026215501","0103","2020-06-03T11:35:00.000","0","CONCORDIA  - AUT","ANTIOQUIA","CONCORDIA","CAUCA","6.042441667","-75.92149722","Velocidad Viento (10 min)","m/s"
"0021255501","0103","2020-06-03T04:55:00.000","0.7624575","LA TRINIDAD  - AUT","TOLIMA","LÍBANO","ALTO MAGDALENA","4.895","-75.04","Velocidad Viento (10 min)","m/s"
"2302500037","0103","2020-06-03T02:30:00.000","0.5","BRASIL - AUT","CALDAS","MARULANDA","MEDIO MAGDALENA","5.139916667","-75.316638889","Velocidad Viento (10 min)","m/s"
"5311500121","0103","2020-06-03T09:50:00.000","2.4","LA CUMBRE - AUT","VALLE DEL CAUCA","LA CUMBRE","TAPAJE - DAGUA - DIRECTOS","3.645194444","-76.56475","Velocidad Viento (10 min)","m/s"
"2401500086","0103","2020-06-03T21:30:00.000","0.9","TUNJA-U.P.T.C - AUT","BOYACÁ","SAMACÁ","SOGAMOSO","5.4417","-73.5522","Velocidad Viento (10 min)","m/s"
"0024030680","0103","2020-06-03T16:30:00.000","6.1","EL PARAMO - AUT","SANTANDER","CARCASÍ","SOGAMOSO","6.653333333","-72.59083333","Velocidad Viento (10 min)","m/s"
"0026205501","0103","2020-06-03T13:15:00.000","0.4021851","EL ROSARIO  - AUT","ANTIOQUIA","VENECIA","CAUCA","5.625830556","-75.70527778","Velocidad Viento (10 min)","m/s"
"0035025502","0103","2020-06-03T19:50:00.000","2.968","LA ESMERALDA-  - AUT","BOGOTA","BOGOTA, D.C","META","4.56","-74","Velocidad Viento (10 min)","m/s"
"2306500106","0103","2020-06-03T18:10:00.000","1.7","ALTO DEL TRIGO - AUT","CUNDINAMARCA","GUADUAS","MEDIO MAGDALENA","5.001902778","-74.537586111","Velocidad Viento (10 min)","m/s"
"0016015502","0103","2020-06-03T00:15:00.000","0","BLONAY  - AUT","NORTE DE SANTANDER","CHINÁCOTA","CATATUMBO","7.564997222","-72.62110833","Velocidad Viento (10 min)","m/s"
